race_id,pos,driver,team,time,pts,driver_total_gps
2025_australian_gp,1,L. Norris,McLaren,1:42:06.304,25,144
2025_australian_gp,2,M. Verstappen,Red Bull,+0.895s,18,224
2025_australian_gp,3,G. Russell,Mercedes,+8.481s,15,144
2025_australian_gp,4,A.K. Antonelli,Mercedes,+10.135s,12,13
2025_australian_gp,5,A. Albon,Williams,+12.773s,10,120
2025_australian_gp,6,L. Stroll,Aston Martin,+17.413s,8,181
2025_australian_gp,7,N. Hülkenberg,Kick Sauber,+18.423s,6,243
2025_australian_gp,8,C. Leclerc,Ferrari,+19.826s,4,162
2025_australian_gp,9,O. Piastri,McLaren,+20.448s,2,62
2025_australian_gp,10,L. Hamilton,Ferrari,+22.473s,1,371
2025_australian_gp,11,P. Gasly,Alpine,+26.502s,0,169
2025_australian_gp,12,Y. Tsunoda,Red Bull,+29.884s,0,103
2025_australian_gp,13,E. Ocon,Haas,+33.161s,0,158
2025_australian_gp,14,O. Bearman,Haas,+40.351s,0,18
2025_australian_gp,15,L. Lawson,Red Bull,DNF,0,26
2025_australian_gp,16,G. Bortoleto,Kick Sauber,DNF,0,16
2025_australian_gp,17,F. Alonso,Aston Martin,DNF,0,409
2025_australian_gp,18,C. Sainz Jr.,Williams,DNF,0,221
2025_australian_gp,19,J. Doohan,Alpine,DNF,0,0
2025_australian_gp,20,I. Hadjar,Red Bull,DNF,0,15
2025_chinese_gp,1,O. Piastri,McLaren,1:30:55.026,25,62
2025_chinese_gp,2,L. Norris,McLaren,+9.748s,18,144
2025_chinese_gp,3,G. Russell,Mercedes,+11.097s,15,144
2025_chinese_gp,4,M. Verstappen,Red Bull,+16.656s,12,224
2025_chinese_gp,5,C. Leclerc,Ferrari,+56 Laps,0,162
2025_chinese_gp,6,L. Hamilton,Ferrari,+56 Laps,0,371
2025_chinese_gp,7,E. Ocon,Haas,+49.969s,10,158
2025_chinese_gp,8,A.K. Antonelli,Mercedes,+53.748s,8,13
2025_chinese_gp,9,A. Albon,Williams,+56.321s,6,120
2025_chinese_gp,10,O. Bearman,Haas,+61.303s,4,18
2025_chinese_gp,11,P. Gasly,Alpine,+56 Laps,0,169
2025_chinese_gp,12,L. Stroll,Aston Martin,+70.204s,2,181
2025_chinese_gp,13,C. Sainz Jr.,Williams,+76.387s,1,221
2025_chinese_gp,14,I. Hadjar,Red Bull,+78.875s,0,15
2025_chinese_gp,15,J. Doohan,Alpine,+88.401s,0,0
2025_chinese_gp,16,L. Lawson,Red Bull,+81.147s,0,26
2025_chinese_gp,17,G. Bortoleto,Kick Sauber,+1 Lap,0,16
2025_chinese_gp,18,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
2025_chinese_gp,19,Y. Tsunoda,Red Bull,+1 Lap,0,103
2025_chinese_gp,20,F. Alonso,Aston Martin,DNF,0,409
2025_japanese_gp,1,M. Verstappen,Red Bull,1:22:06.983,25,224
2025_japanese_gp,2,L. Norris,McLaren,+1.423s,18,144
2025_japanese_gp,3,O. Piastri,McLaren,+2.129s,15,62
2025_japanese_gp,4,C. Leclerc,Ferrari,+16.097s,12,162
2025_japanese_gp,5,G. Russell,Mercedes,+17.362s,10,144
2025_japanese_gp,6,A.K. Antonelli,Mercedes,+18.671s,8,13
2025_japanese_gp,7,L. Hamilton,Ferrari,+29.182s,6,371
2025_japanese_gp,8,I. Hadjar,Red Bull,+37.134s,4,15
2025_japanese_gp,9,A. Albon,Williams,+40.367s,2,120
2025_japanese_gp,10,O. Bearman,Haas,+54.529s,1,18
2025_japanese_gp,11,F. Alonso,Aston Martin,+57.333s,0,409
2025_japanese_gp,12,Y. Tsunoda,Red Bull,+58.401s,0,103
2025_japanese_gp,13,P. Gasly,Alpine,+62.122s,0,169
2025_japanese_gp,14,C. Sainz Jr.,Williams,+74.129s,0,221
